Time,Invert B
(ms),(mV)

-1.32141495,-73.99212000
-1.31885495,-73.99212000
-1.31629495,-73.99212000
-1.31373495,-73.99212000
-1.31117495,-69.50591000
-1.30861495,-73.99212000
-1.30605495,-73.99212000
-1.30349495,-73.99212000
-1.30093495,-73.99212000
-1.29837495,-73.99212000
-1.29581495,-69.50591000
-1.29325495,-73.99212000
-1.29069495,-73.99212000
-1.28813495,-73.99212000
-1.28557495,-73.99212000
-1.28301495,-73.99212000
-1.28045495,-73.99212000
-1.27789495,-73.99212000
-1.27533495,-73.99212000
-1.27277495,-73.99212000
-1.27021495,-73.99212000
-1.26765495,-73.99212000
-1.26509495,-73.99212000
-1.26253495,-69.50591000
-1.25997495,-73.99212000
-1.25741495,-69.50591000
-1.25485495,-69.50591000
-1.25229495,-73.99212000
-1.24973495,-69.50591000
-1.24717495,-69.50591000
-1.24461495,-73.99212000
-1.24205495,-73.99212000
-1.23949495,-73.99212000
-1.23693495,-73.99212000
-1.23437495,-73.99212000
-1.23181495,-73.99212000
-1.22925495,-73.99212000
-1.22669495,-73.99212000
-1.22413495,-73.99212000
-1.22157495,-73.99212000
-1.21901495,-73.99212000
-1.21645495,-73.99212000
-1.21389495,-73.99212000
-1.21133495,-69.50591000
-1.20877495,-73.99212000
-1.20621495,-73.99212000
-1.20365495,-78.46308000
-1.20109495,-73.99212000
-1.19853495,-69.50591000
-1.19597495,-73.99212000
-1.19341495,-73.99212000
-1.19085495,-73.99212000
-1.18829495,-73.99212000
-1.18573495,-73.99212000
-1.18317495,-73.99212000
-1.18061495,-73.99212000
-1.17805495,-73.99212000
-1.17549495,-73.99212000
-1.17293495,-73.99212000
-1.17037495,-73.99212000
-1.16781495,-73.99212000
-1.16525495,-73.99212000
-1.16269495,-73.99212000
-1.16013495,-73.99212000
-1.15757495,-69.50591000
-1.15501495,-73.99212000
-1.15245495,-73.99212000
-1.14989495,-73.99212000
-1.14733495,-73.99212000
-1.14477495,-73.99212000
-1.14221495,-69.50591000
-1.13965495,-73.99212000
