Time,Invert B
(ms),(mV)

-1.32136396,-73.99212000
-1.31880396,-73.99212000
-1.31624396,-73.99212000
-1.31368396,-73.99212000
-1.31112396,-73.99212000
-1.30856396,-73.99212000
-1.30600396,-73.99212000
-1.30344396,-73.99212000
-1.30088396,-73.99212000
-1.29832396,-73.99212000
-1.29576396,-73.99212000
-1.29320396,-78.46308000
-1.29064396,-73.99212000
-1.28808396,-73.99212000
-1.28552396,-73.99212000
-1.28296396,-73.99212000
-1.28040396,-78.46308000
-1.27784396,-73.99212000
-1.27528396,-73.99212000
-1.27272396,-73.99212000
-1.27016396,-73.99212000
-1.26760396,-73.99212000
-1.26504396,-73.99212000
-1.26248396,-73.99212000
-1.25992396,-78.46308000
-1.25736396,-73.99212000
-1.25480396,-73.99212000
-1.25224396,-73.99212000
-1.24968396,-73.99212000
-1.24712396,-73.99212000
-1.24456396,-78.46308000
-1.24200396,-73.99212000
-1.23944396,-78.46308000
-1.23688396,-78.46308000
-1.23432396,-73.99212000
-1.23176396,-73.99212000
-1.22920396,-78.46308000
-1.22664396,-78.46308000
-1.22408396,-78.46308000
-1.22152396,-78.46308000
-1.21896396,-78.46308000
-1.21640396,-78.46308000
-1.21384396,-73.99212000
-1.21128396,-73.99212000
-1.20872396,-73.99212000
-1.20616396,-73.99212000
-1.20360396,-73.99212000
-1.20104396,-73.99212000
-1.19848396,-78.46308000
-1.19592396,-78.46308000
-1.19336396,-78.46308000
-1.19080396,-78.46308000
-1.18824396,-73.99212000
-1.18568396,-73.99212000
-1.18312396,-78.46308000
-1.18056396,-73.99212000
-1.17800396,-73.99212000
-1.17544396,-73.99212000
-1.17288396,-73.99212000
-1.17032396,-73.99212000
-1.16776396,-73.99212000
-1.16520396,-73.99212000
-1.16264396,-73.99212000
-1.16008396,-78.46308000
-1.15752396,-73.99212000
-1.15496396,-73.99212000
-1.15240396,-73.99212000
-1.14984396,-73.99212000
-1.14728396,-78.46308000
-1.14472396,-73.99212000
-1.14216396,-73.99212000
-1.13960396,-73.99212000
