Time,Channel B
(ms),(mV)

-1.32124405,73.99212000
-1.31868405,69.50591000
-1.31612405,73.99212000
-1.31356405,73.99212000
-1.31100405,69.50591000
-1.30844405,73.99212000
-1.30588405,73.99212000
-1.30332405,73.99212000
-1.30076405,73.99212000
-1.29820405,69.50591000
-1.29564405,73.99212000
-1.29308405,73.99212000
-1.29052405,69.50591000
-1.28796405,73.99212000
-1.28540405,69.50591000
-1.28284405,69.50591000
-1.28028405,73.99212000
-1.27772405,73.99212000
-1.27516405,69.50591000
-1.27260405,69.50591000
-1.27004405,73.99212000
-1.26748405,73.99212000
-1.26492405,73.99212000
-1.26236405,73.99212000
-1.25980405,69.50591000
-1.25724405,73.99212000
-1.25468405,69.50591000
-1.25212405,73.99212000
-1.24956405,73.99212000
-1.24700405,73.99212000
-1.24444405,69.50591000
-1.24188405,73.99212000
-1.23932405,69.50591000
-1.23676405,69.50591000
-1.23420405,69.50591000
-1.23164405,73.99212000
-1.22908405,73.99212000
-1.22652405,73.99212000
-1.22396405,69.50591000
-1.22140405,69.50591000
-1.21884405,69.50591000
-1.21628405,69.50591000
-1.21372405,73.99212000
-1.21116405,73.99212000
-1.20860405,69.50591000
-1.20604405,73.99212000
-1.20348405,73.99212000
-1.20092405,69.50591000
-1.19836405,69.50591000
-1.19580405,73.99212000
-1.19324405,73.99212000
-1.19068405,73.99212000
-1.18812405,73.99212000
-1.18556405,73.99212000
-1.18300405,73.99212000
-1.18044405,69.50591000
-1.17788405,69.50591000
-1.17532405,69.50591000
-1.17276405,73.99212000
-1.17020405,69.50591000
-1.16764405,69.50591000
-1.16508405,73.99212000
-1.16252405,73.99212000
-1.15996405,73.99212000
-1.15740405,73.99212000
-1.15484405,73.99212000
-1.15228405,69.50591000
-1.14972405,69.50591000
-1.14716405,69.50591000
-1.14460405,69.50591000
-1.14204405,69.50591000
-1.13948405,69.50591000
-1.13692405,73.99212000
-1.13436405,73.99212000
-1.13180405,73.99212000
-1.12924405,69.50591000
-1.12668405,69.50591000
-1.12412405,69.50591000
