Time,Invert B
(ms),(mV)

-1.32215605,-78.46308000
-1.31959605,-78.46308000
-1.31703605,-78.46308000
-1.31447605,-78.46308000
-1.31191605,-78.46308000
-1.30935605,-78.46308000
-1.30679605,-78.46308000
-1.30423605,-78.46308000
-1.30167605,-78.46308000
-1.29911605,-78.46308000
-1.29655605,-78.46308000
-1.29399605,-78.46308000
-1.29143605,-78.46308000
-1.28887605,-78.46308000
-1.28631605,-73.99212000
-1.28375605,-78.46308000
-1.28119605,-78.46308000
-1.27863605,-78.46308000
-1.27607605,-78.46308000
-1.27351605,-78.46308000
-1.27095605,-78.46308000
-1.26839605,-73.99212000
-1.26583605,-78.46308000
-1.26327605,-78.46308000
-1.26071605,-78.46308000
-1.25815605,-73.99212000
-1.25559605,-73.99212000
-1.25303605,-78.46308000
-1.25047605,-78.46308000
-1.24791605,-78.46308000
-1.24535605,-78.46308000
-1.24279605,-73.99212000
-1.24023605,-73.99212000
-1.23767605,-78.46308000
-1.23511605,-78.46308000
-1.23255605,-73.99212000
-1.22999605,-78.46308000
-1.22743605,-78.46308000
-1.22487605,-73.99212000
-1.22231605,-73.99212000
-1.21975605,-78.46308000
-1.21719605,-73.99212000
-1.21463605,-78.46308000
-1.21207605,-78.46308000
-1.20951605,-73.99212000
-1.20695605,-73.99212000
-1.20439605,-73.99212000
-1.20183605,-73.99212000
-1.19927605,-73.99212000
-1.19671605,-73.99212000
-1.19415605,-73.99212000
-1.19159605,-73.99212000
-1.18903605,-73.99212000
-1.18647605,-73.99212000
-1.18391605,-73.99212000
-1.18135605,-78.46308000
-1.17879605,-78.46308000
-1.17623605,-78.46308000
-1.17367605,-73.99212000
-1.17111605,-73.99212000
-1.16855605,-73.99212000
-1.16599605,-73.99212000
-1.16343605,-73.99212000
-1.16087605,-73.99212000
-1.15831605,-73.99212000
-1.15575605,-73.99212000
-1.15319605,-78.46308000
-1.15063605,-78.46308000
-1.14807605,-73.99212000
-1.14551605,-78.46308000
-1.14295605,-73.99212000
-1.14039605,-78.46308000
