Time,Invert B
(ms),(mV)

-1.32240495,-69.50591000
-1.31984495,-69.50591000
-1.31728495,-73.99212000
-1.31472495,-69.50591000
-1.31216495,-73.99212000
-1.30960495,-73.99212000
-1.30704495,-73.99212000
-1.30448495,-73.99212000
-1.30192495,-73.99212000
-1.29936495,-73.99212000
-1.29680495,-73.99212000
-1.29424495,-69.50591000
-1.29168495,-73.99212000
-1.28912495,-73.99212000
-1.28656495,-73.99212000
-1.28400495,-73.99212000
-1.28144495,-69.50591000
-1.27888495,-69.50591000
-1.27632495,-73.99212000
-1.27376495,-73.99212000
-1.27120495,-73.99212000
-1.26864495,-69.50591000
-1.26608495,-73.99212000
-1.26352495,-73.99212000
-1.26096495,-73.99212000
-1.25840495,-69.50591000
-1.25584495,-73.99212000
-1.25328495,-69.50591000
-1.25072495,-69.50591000
-1.24816495,-73.99212000
-1.24560495,-69.50591000
-1.24304495,-73.99212000
-1.24048495,-73.99212000
-1.23792495,-73.99212000
-1.23536495,-73.99212000
-1.23280495,-73.99212000
-1.23024495,-73.99212000
-1.22768495,-69.50591000
-1.22512495,-69.50591000
-1.22256495,-73.99212000
-1.22000495,-73.99212000
-1.21744495,-73.99212000
-1.21488495,-69.50591000
-1.21232495,-73.99212000
-1.20976495,-73.99212000
-1.20720495,-73.99212000
-1.20464495,-73.99212000
-1.20208495,-73.99212000
-1.19952495,-73.99212000
-1.19696495,-73.99212000
-1.19440495,-73.99212000
-1.19184495,-73.99212000
-1.18928495,-73.99212000
-1.18672495,-73.99212000
-1.18416495,-73.99212000
-1.18160495,-73.99212000
-1.17904495,-73.99212000
-1.17648495,-73.99212000
-1.17392495,-73.99212000
-1.17136495,-73.99212000
-1.16880495,-73.99212000
-1.16624495,-73.99212000
-1.16368495,-73.99212000
-1.16112495,-73.99212000
-1.15856495,-73.99212000
-1.15600495,-73.99212000
-1.15344495,-73.99212000
-1.15088495,-73.99212000
-1.14832495,-73.99212000
-1.14576495,-73.99212000
-1.14320495,-73.99212000
-1.14064495,-73.99212000
