Time,Invert B
(ms),(mV)

-1.32147002,-78.46308000
-1.31891002,-78.46308000
-1.31635002,-69.50591000
-1.31379002,-73.99212000
-1.31123002,-73.99212000
-1.30867002,-73.99212000
-1.30611002,-73.99212000
-1.30355002,-73.99212000
-1.30099002,-78.46308000
-1.29843002,-78.46308000
-1.29587002,-73.99212000
-1.29331002,-73.99212000
-1.29075002,-78.46308000
-1.28819002,-73.99212000
-1.28563002,-73.99212000
-1.28307002,-73.99212000
-1.28051002,-78.46308000
-1.27795002,-78.46308000
-1.27539002,-78.46308000
-1.27283002,-73.99212000
-1.27027002,-78.46308000
-1.26771002,-73.99212000
-1.26515002,-73.99212000
-1.26259002,-73.99212000
-1.26003002,-73.99212000
-1.25747002,-73.99212000
-1.25491002,-73.99212000
-1.25235002,-73.99212000
-1.24979002,-73.99212000
-1.24723002,-78.46308000
-1.24467002,-78.46308000
-1.24211002,-73.99212000
-1.23955002,-73.99212000
-1.23699002,-78.46308000
-1.23443002,-73.99212000
-1.23187002,-73.99212000
-1.22931002,-73.99212000
-1.22675002,-78.46308000
-1.22419002,-73.99212000
-1.22163002,-73.99212000
-1.21907002,-73.99212000
-1.21651002,-69.50591000
-1.21395002,-73.99212000
-1.21139002,-73.99212000
-1.20883002,-73.99212000
-1.20627002,-73.99212000
-1.20371002,-73.99212000
-1.20115002,-73.99212000
-1.19859002,-73.99212000
-1.19603002,-73.99212000
-1.19347002,-73.99212000
-1.19091002,-73.99212000
-1.18835002,-73.99212000
-1.18579002,-73.99212000
-1.18323002,-73.99212000
-1.18067002,-73.99212000
-1.17811002,-73.99212000
-1.17555002,-73.99212000
-1.17299002,-73.99212000
-1.17043002,-73.99212000
-1.16787002,-73.99212000
-1.16531002,-78.46308000
-1.16275002,-73.99212000
-1.16019002,-73.99212000
-1.15763002,-73.99212000
-1.15507002,-73.99212000
-1.15251002,-69.50591000
-1.14995002,-73.99212000
-1.14739002,-73.99212000
-1.14483002,-73.99212000
-1.14227002,-69.50591000
-1.13971002,-73.99212000
