Time,Channel B
(ms),(mV)

-1.32230995,78.46308000
-1.31974995,78.46308000
-1.31718995,78.46308000
-1.31462995,78.46308000
-1.31206995,78.46308000
-1.30950995,78.46308000
-1.30694995,78.46308000
-1.30438995,73.99212000
-1.30182995,78.46308000
-1.29926995,78.46308000
-1.29670995,78.46308000
-1.29414995,78.46308000
-1.29158995,78.46308000
-1.28902995,78.46308000
-1.28646995,78.46308000
-1.28390995,78.46308000
-1.28134995,78.46308000
-1.27878995,78.46308000
-1.27622995,78.46308000
-1.27366995,78.46308000
-1.27110995,78.46308000
-1.26854995,78.46308000
-1.26598995,78.46308000
-1.26342995,78.46308000
-1.26086995,78.46308000
-1.25830995,78.46308000
-1.25574995,78.46308000
-1.25318995,73.99212000
-1.25062995,78.46308000
-1.24806995,78.46308000
-1.24550995,78.46308000
-1.24294995,78.46308000
-1.24038995,78.46308000
-1.23782995,78.46308000
-1.23526995,78.46308000
-1.23270995,78.46308000
-1.23014995,78.46308000
-1.22758995,78.46308000
-1.22502995,73.99212000
-1.22246995,78.46308000
-1.21990995,78.46308000
-1.21734995,78.46308000
-1.21478995,78.46308000
-1.21222995,73.99212000
-1.20966995,78.46308000
-1.20710995,78.46308000
-1.20454995,78.46308000
-1.20198995,78.46308000
-1.19942995,78.46308000
-1.19686995,78.46308000
-1.19430995,78.46308000
-1.19174995,78.46308000
-1.18918995,78.46308000
-1.18662995,78.46308000
-1.18406995,78.46308000
-1.18150995,78.46308000
-1.17894995,78.46308000
-1.17638995,78.46308000
-1.17382995,78.46308000
-1.17126995,78.46308000
-1.16870995,78.46308000
-1.16614995,78.46308000
-1.16358995,78.46308000
-1.16102995,78.46308000
-1.15846995,78.46308000
-1.15590995,78.46308000
-1.15334995,78.46308000
-1.15078995,78.46308000
-1.14822995,78.46308000
-1.14566995,78.46308000
-1.14310995,78.46308000
-1.14054995,78.46308000
-1.13798995,78.46308000
-1.13542995,78.46308000
-1.13286995,78.46308000
-1.13030995,78.46308000
-1.12774995,78.46308000
-1.12518995,78.46308000
