Time,Invert B
(ms),(mV)

-1.32165605,-78.46308000
-1.31909605,-73.99212000
-1.31653605,-73.99212000
-1.31397605,-73.99212000
-1.31141605,-73.99212000
-1.30885605,-73.99212000
-1.30629605,-73.99212000
-1.30373605,-69.50591000
-1.30117605,-78.46308000
-1.29861605,-69.50591000
-1.29605605,-73.99212000
-1.29349605,-78.46308000
-1.29093605,-73.99212000
-1.28837605,-73.99212000
-1.28581605,-73.99212000
-1.28325605,-73.99212000
-1.28069605,-78.46308000
-1.27813605,-73.99212000
-1.27557605,-78.46308000
-1.27301605,-73.99212000
-1.27045605,-73.99212000
-1.26789605,-73.99212000
-1.26533605,-78.46308000
-1.26277605,-73.99212000
-1.26021605,-73.99212000
-1.25765605,-73.99212000
-1.25509605,-73.99212000
-1.25253605,-73.99212000
-1.24997605,-73.99212000
-1.24741605,-73.99212000
-1.24485605,-73.99212000
-1.24229605,-73.99212000
-1.23973605,-73.99212000
-1.23717605,-73.99212000
-1.23461605,-73.99212000
-1.23205605,-73.99212000
-1.22949605,-69.50591000
-1.22693605,-73.99212000
-1.22437605,-69.50591000
-1.22181605,-73.99212000
-1.21925605,-69.50591000
-1.21669605,-73.99212000
-1.21413605,-73.99212000
-1.21157605,-69.50591000
-1.20901605,-69.50591000
-1.20645605,-73.99212000
-1.20389605,-69.50591000
-1.20133605,-69.50591000
-1.19877605,-69.50591000
-1.19621605,-69.50591000
-1.19365605,-69.50591000
-1.19109605,-69.50591000
-1.18853605,-69.50591000
-1.18597605,-69.50591000
-1.18341605,-69.50591000
-1.18085605,-69.50591000
-1.17829605,-69.50591000
-1.17573605,-69.50591000
-1.17317605,-69.50591000
-1.17061605,-69.50591000
-1.16805605,-69.50591000
-1.16549605,-69.50591000
-1.16293605,-69.50591000
-1.16037605,-69.50591000
-1.15781605,-69.50591000
-1.15525605,-69.50591000
-1.15269605,-69.50591000
-1.15013605,-69.50591000
-1.14757605,-69.50591000
-1.14501605,-69.50591000
-1.14245605,-69.50591000
-1.13989605,-69.50591000
