Time,Invert B
(ms),(mV)

-1.32144301,-73.99212000
-1.31888301,-78.46308000
-1.31632301,-73.99212000
-1.31376301,-73.99212000
-1.31120301,-73.99212000
-1.30864301,-69.50591000
-1.30608301,-73.99212000
-1.30352301,-73.99212000
-1.30096301,-73.99212000
-1.29840301,-73.99212000
-1.29584301,-73.99212000
-1.29328301,-73.99212000
-1.29072301,-73.99212000
-1.28816301,-78.46308000
-1.28560301,-78.46308000
-1.28304301,-78.46308000
-1.28048301,-78.46308000
-1.27792301,-73.99212000
-1.27536301,-78.46308000
-1.27280301,-73.99212000
-1.27024301,-73.99212000
-1.26768301,-78.46308000
-1.26512301,-73.99212000
-1.26256301,-73.99212000
-1.26000301,-78.46308000
-1.25744301,-73.99212000
-1.25488301,-78.46308000
-1.25232301,-73.99212000
-1.24976301,-78.46308000
-1.24720301,-73.99212000
-1.24464301,-78.46308000
-1.24208301,-78.46308000
-1.23952301,-73.99212000
-1.23696301,-78.46308000
-1.23440301,-73.99212000
-1.23184301,-73.99212000
-1.22928301,-78.46308000
-1.22672301,-78.46308000
-1.22416301,-78.46308000
-1.22160301,-73.99212000
-1.21904301,-73.99212000
-1.21648301,-78.46308000
-1.21392301,-73.99212000
-1.21136301,-78.46308000
-1.20880301,-78.46308000
-1.20624301,-78.46308000
-1.20368301,-78.46308000
-1.20112301,-73.99212000
-1.19856301,-73.99212000
-1.19600301,-73.99212000
-1.19344301,-78.46308000
-1.19088301,-73.99212000
-1.18832301,-73.99212000
-1.18576301,-73.99212000
-1.18320301,-78.46308000
-1.18064301,-73.99212000
-1.17808301,-78.46308000
-1.17552301,-73.99212000
-1.17296301,-73.99212000
-1.17040301,-73.99212000
-1.16784301,-73.99212000
-1.16528301,-73.99212000
-1.16272301,-78.46308000
-1.16016301,-73.99212000
-1.15760301,-73.99212000
-1.15504301,-73.99212000
-1.15248301,-73.99212000
-1.14992301,-73.99212000
-1.14736301,-73.99212000
-1.14480301,-78.46308000
-1.14224301,-78.46308000
-1.13968301,-73.99212000
