Time,Invert B
(ms),(mV)

-1.32302695,-78.46308000
-1.32046695,-78.46308000
-1.31790695,-78.46308000
-1.31534695,-78.46308000
-1.31278695,-78.46308000
-1.31022695,-78.46308000
-1.30766695,-78.46308000
-1.30510695,-78.46308000
-1.30254695,-78.46308000
-1.29998695,-78.46308000
-1.29742695,-78.46308000
-1.29486695,-78.46308000
-1.29230695,-78.46308000
-1.28974695,-78.46308000
-1.28718695,-78.46308000
-1.28462695,-73.99212000
-1.28206695,-78.46308000
-1.27950695,-78.46308000
-1.27694695,-78.46308000
-1.27438695,-78.46308000
-1.27182695,-78.46308000
-1.26926695,-78.46308000
-1.26670695,-78.46308000
-1.26414695,-73.99212000
-1.26158695,-78.46308000
-1.25902695,-78.46308000
-1.25646695,-73.99212000
-1.25390695,-73.99212000
-1.25134695,-78.46308000
-1.24878695,-78.46308000
-1.24622695,-73.99212000
-1.24366695,-78.46308000
-1.24110695,-73.99212000
-1.23854695,-73.99212000
-1.23598695,-73.99212000
-1.23342695,-73.99212000
-1.23086695,-73.99212000
-1.22830695,-78.46308000
-1.22574695,-73.99212000
-1.22318695,-73.99212000
-1.22062695,-73.99212000
-1.21806695,-73.99212000
-1.21550695,-78.46308000
-1.21294695,-73.99212000
-1.21038695,-78.46308000
-1.20782695,-73.99212000
-1.20526695,-73.99212000
-1.20270695,-73.99212000
-1.20014695,-73.99212000
-1.19758695,-73.99212000
-1.19502695,-78.46308000
-1.19246695,-73.99212000
-1.18990696,-73.99212000
-1.18734696,-73.99212000
-1.18478696,-73.99212000
-1.18222696,-73.99212000
-1.17966696,-73.99212000
-1.17710696,-73.99212000
-1.17454696,-73.99212000
-1.17198696,-73.99212000
-1.16942696,-69.50591000
-1.16686696,-73.99212000
-1.16430696,-69.50591000
-1.16174696,-73.99212000
-1.15918696,-73.99212000
-1.15662696,-78.46308000
-1.15406696,-69.50591000
-1.15150696,-73.99212000
-1.14894696,-73.99212000
-1.14638696,-73.99212000
-1.14382696,-73.99212000
-1.14126696,-73.99212000
