Time,Invert B
(ms),(mV)

-1.32129597,-73.99212000
-1.31873597,-73.99212000
-1.31617597,-69.50591000
-1.31361597,-73.99212000
-1.31105597,-73.99212000
-1.30849597,-69.50591000
-1.30593597,-73.99212000
-1.30337597,-73.99212000
-1.30081597,-69.50591000
-1.29825597,-73.99212000
-1.29569597,-69.50591000
-1.29313597,-73.99212000
-1.29057597,-69.50591000
-1.28801597,-73.99212000
-1.28545597,-73.99212000
-1.28289598,-69.50591000
-1.28033598,-69.50591000
-1.27777598,-73.99212000
-1.27521598,-69.50591000
-1.27265598,-69.50591000
-1.27009598,-69.50591000
-1.26753598,-78.46308000
-1.26497598,-69.50591000
-1.26241598,-73.99212000
-1.25985598,-73.99212000
-1.25729598,-73.99212000
-1.25473598,-73.99212000
-1.25217598,-73.99212000
-1.24961598,-73.99212000
-1.24705598,-73.99212000
-1.24449598,-73.99212000
-1.24193598,-73.99212000
-1.23937598,-73.99212000
-1.23681598,-73.99212000
-1.23425598,-69.50591000
-1.23169598,-73.99212000
-1.22913598,-73.99212000
-1.22657598,-69.50591000
-1.22401598,-73.99212000
-1.22145598,-73.99212000
-1.21889598,-73.99212000
-1.21633598,-73.99212000
-1.21377598,-73.99212000
-1.21121598,-73.99212000
-1.20865598,-73.99212000
-1.20609598,-73.99212000
-1.20353598,-73.99212000
-1.20097598,-73.99212000
-1.19841598,-73.99212000
-1.19585598,-73.99212000
-1.19329598,-69.50591000
-1.19073598,-73.99212000
-1.18817598,-73.99212000
-1.18561598,-78.46308000
-1.18305598,-73.99212000
-1.18049598,-73.99212000
-1.17793598,-73.99212000
-1.17537598,-73.99212000
-1.17281598,-73.99212000
-1.17025598,-73.99212000
-1.16769598,-73.99212000
-1.16513598,-78.46308000
-1.16257598,-73.99212000
-1.16001598,-69.50591000
-1.15745598,-73.99212000
-1.15489598,-73.99212000
-1.15233598,-69.50591000
-1.14977598,-69.50591000
-1.14721598,-73.99212000
-1.14465598,-73.99212000
-1.14209598,-73.99212000
-1.13953598,-73.99212000
