Time,Invert B
(ms),(mV)

-1.32245000,-73.99212000
-1.31989000,-73.99212000
-1.31733000,-73.99212000
-1.31477000,-73.99212000
-1.31221000,-69.50591000
-1.30965000,-69.50591000
-1.30709000,-73.99212000
-1.30453000,-69.50591000
-1.30197000,-73.99212000
-1.29941000,-73.99212000
-1.29685000,-73.99212000
-1.29429000,-73.99212000
-1.29173000,-73.99212000
-1.28917000,-73.99212000
-1.28661000,-69.50591000
-1.28405000,-69.50591000
-1.28149000,-73.99212000
-1.27893000,-73.99212000
-1.27637000,-69.50591000
-1.27381000,-73.99212000
-1.27125000,-69.50591000
-1.26869000,-73.99212000
-1.26613000,-73.99212000
-1.26357000,-73.99212000
-1.26101000,-73.99212000
-1.25845000,-73.99212000
-1.25589000,-73.99212000
-1.25333000,-73.99212000
-1.25077000,-73.99212000
-1.24821000,-73.99212000
-1.24565000,-78.46308000
-1.24309000,-73.99212000
-1.24053000,-73.99212000
-1.23797000,-69.50591000
-1.23541000,-73.99212000
-1.23285000,-73.99212000
-1.23029000,-73.99212000
-1.22773000,-73.99212000
-1.22517000,-73.99212000
-1.22261000,-78.46308000
-1.22005000,-73.99212000
-1.21749000,-78.46308000
-1.21493000,-73.99212000
-1.21237000,-73.99212000
-1.20981000,-73.99212000
-1.20725000,-73.99212000
-1.20469000,-73.99212000
-1.20213000,-73.99212000
-1.19957000,-73.99212000
-1.19701000,-73.99212000
-1.19445000,-73.99212000
-1.19189000,-73.99212000
-1.18933000,-73.99212000
-1.18677000,-73.99212000
-1.18421000,-73.99212000
-1.18165000,-73.99212000
-1.17909000,-78.46308000
-1.17653000,-73.99212000
-1.17397000,-73.99212000
-1.17141000,-73.99212000
-1.16885000,-73.99212000
-1.16629000,-73.99212000
-1.16373000,-73.99212000
-1.16117000,-73.99212000
-1.15861000,-73.99212000
-1.15605000,-73.99212000
-1.15349000,-73.99212000
-1.15093000,-73.99212000
-1.14837000,-73.99212000
-1.14581000,-73.99212000
-1.14325000,-73.99212000
-1.14069000,-73.99212000
