Time,Channel B
(ms),(mV)

-1.32121204,78.46308000
-1.31865204,78.46308000
-1.31609204,78.46308000
-1.31353204,78.46308000
-1.31097204,78.46308000
-1.30841204,78.46308000
-1.30585204,73.99212000
-1.30329204,73.99212000
-1.30073204,78.46308000
-1.29817204,78.46308000
-1.29561204,73.99212000
-1.29305204,78.46308000
-1.29049204,78.46308000
-1.28793204,78.46308000
-1.28537204,73.99212000
-1.28281204,73.99212000
-1.28025204,78.46308000
-1.27769204,78.46308000
-1.27513204,78.46308000
-1.27257204,78.46308000
-1.27001204,78.46308000
-1.26745204,73.99212000
-1.26489204,78.46308000
-1.26233204,78.46308000
-1.25977204,78.46308000
-1.25721204,78.46308000
-1.25465204,78.46308000
-1.25209204,78.46308000
-1.24953204,73.99212000
-1.24697204,78.46308000
-1.24441204,78.46308000
-1.24185204,73.99212000
-1.23929204,78.46308000
-1.23673204,78.46308000
-1.23417204,78.46308000
-1.23161204,78.46308000
-1.22905204,78.46308000
-1.22649204,78.46308000
-1.22393204,78.46308000
-1.22137204,78.46308000
-1.21881204,78.46308000
-1.21625204,78.46308000
-1.21369204,78.46308000
-1.21113204,78.46308000
-1.20857204,78.46308000
-1.20601204,78.46308000
-1.20345204,78.46308000
-1.20089204,78.46308000
-1.19833204,78.46308000
-1.19577204,78.46308000
-1.19321204,78.46308000
-1.19065204,78.46308000
-1.18809204,78.46308000
-1.18553204,78.46308000
-1.18297204,78.46308000
-1.18041204,78.46308000
-1.17785204,78.46308000
-1.17529204,78.46308000
-1.17273204,78.46308000
-1.17017204,78.46308000
-1.16761204,78.46308000
-1.16505204,78.46308000
-1.16249204,78.46308000
-1.15993204,78.46308000
-1.15737204,78.46308000
-1.15481204,78.46308000
-1.15225204,78.46308000
-1.14969204,78.46308000
-1.14713204,78.46308000
-1.14457204,78.46308000
-1.14201204,78.46308000
-1.13945204,78.46308000
-1.13689204,78.46308000
-1.13433204,78.46308000
-1.13177204,78.46308000
-1.12921204,78.46308000
-1.12665204,78.46308000
-1.12409204,78.46308000
