Time,Invert B
(ms),(mV)

-1.32238003,-78.46308000
-1.31982003,-78.46308000
-1.31726003,-78.46308000
-1.31470003,-78.46308000
-1.31214003,-78.46308000
-1.30958003,-78.46308000
-1.30702003,-78.46308000
-1.30446003,-78.46308000
-1.30190003,-78.46308000
-1.29934003,-78.46308000
-1.29678003,-78.46308000
-1.29422003,-78.46308000
-1.29166003,-78.46308000
-1.28910003,-78.46308000
-1.28654003,-78.46308000
-1.28398003,-78.46308000
-1.28142003,-78.46308000
-1.27886003,-78.46308000
-1.27630003,-78.46308000
-1.27374003,-78.46308000
-1.27118003,-78.46308000
-1.26862003,-78.46308000
-1.26606003,-78.46308000
-1.26350003,-78.46308000
-1.26094003,-78.46308000
-1.25838003,-78.46308000
-1.25582003,-78.46308000
-1.25326003,-78.46308000
-1.25070003,-78.46308000
-1.24814003,-78.46308000
-1.24558003,-78.46308000
-1.24302003,-78.46308000
-1.24046003,-78.46308000
-1.23790003,-78.46308000
-1.23534003,-78.46308000
-1.23278003,-78.46308000
-1.23022003,-78.46308000
-1.22766003,-78.46308000
-1.22510003,-78.46308000
-1.22254003,-78.46308000
-1.21998003,-78.46308000
-1.21742003,-78.46308000
-1.21486003,-78.46308000
-1.21230003,-78.46308000
-1.20974003,-78.46308000
-1.20718003,-78.46308000
-1.20462003,-78.46308000
-1.20206003,-78.46308000
-1.19950003,-78.46308000
-1.19694004,-78.46308000
-1.19438004,-78.46308000
-1.19182004,-78.46308000
-1.18926004,-78.46308000
-1.18670004,-78.46308000
-1.18414004,-78.46308000
-1.18158004,-78.46308000
-1.17902004,-78.46308000
-1.17646004,-78.46308000
-1.17390004,-78.46308000
-1.17134004,-78.46308000
-1.16878004,-78.46308000
-1.16622004,-78.46308000
-1.16366004,-78.46308000
-1.16110004,-78.46308000
-1.15854004,-78.46308000
-1.15598004,-78.46308000
-1.15342004,-78.46308000
-1.15086004,-78.46308000
-1.14830004,-78.46308000
-1.14574004,-78.46308000
-1.14318004,-78.46308000
-1.14062004,-78.46308000
