Time,Invert B
(ms),(mV)

-1.32348004,-69.50591000
-1.32092004,-69.50591000
-1.31836004,-73.99212000
-1.31580004,-69.50591000
-1.31324004,-69.50591000
-1.31068004,-73.99212000
-1.30812004,-69.50591000
-1.30556004,-69.50591000
-1.30300004,-69.50591000
-1.30044004,-69.50591000
-1.29788004,-69.50591000
-1.29532004,-69.50591000
-1.29276004,-69.50591000
-1.29020004,-69.50591000
-1.28764004,-69.50591000
-1.28508004,-69.50591000
-1.28252004,-73.99212000
-1.27996004,-69.50591000
-1.27740004,-69.50591000
-1.27484004,-69.50591000
-1.27228004,-73.99212000
-1.26972004,-69.50591000
-1.26716004,-73.99212000
-1.26460004,-69.50591000
-1.26204004,-73.99212000
-1.25948004,-69.50591000
-1.25692004,-73.99212000
-1.25436004,-73.99212000
-1.25180004,-73.99212000
-1.24924004,-69.50591000
-1.24668004,-73.99212000
-1.24412004,-73.99212000
-1.24156004,-73.99212000
-1.23900004,-73.99212000
-1.23644004,-73.99212000
-1.23388004,-73.99212000
-1.23132004,-69.50591000
-1.22876004,-69.50591000
-1.22620004,-73.99212000
-1.22364004,-69.50591000
-1.22108004,-69.50591000
-1.21852004,-73.99212000
-1.21596004,-69.50591000
-1.21340004,-69.50591000
-1.21084004,-69.50591000
-1.20828004,-69.50591000
-1.20572004,-69.50591000
-1.20316004,-69.50591000
-1.20060004,-69.50591000
-1.19804004,-73.99212000
-1.19548004,-69.50591000
-1.19292004,-69.50591000
-1.19036004,-69.50591000
-1.18780004,-69.50591000
-1.18524004,-73.99212000
-1.18268004,-73.99212000
-1.18012004,-69.50591000
-1.17756004,-69.50591000
-1.17500004,-69.50591000
-1.17244004,-69.50591000
-1.16988004,-69.50591000
-1.16732004,-69.50591000
-1.16476004,-69.50591000
-1.16220004,-69.50591000
-1.15964004,-69.50591000
-1.15708004,-69.50591000
-1.15452004,-69.50591000
-1.15196004,-69.50591000
-1.14940004,-69.50591000
-1.14684004,-69.50591000
-1.14428004,-73.99212000
-1.14172004,-69.50591000
