Time,Invert B
(ms),(mV)

-1.32150704,-73.99212000
-1.31894704,-73.99212000
-1.31638704,-73.99212000
-1.31382704,-78.46308000
-1.31126704,-78.46308000
-1.30870704,-73.99212000
-1.30614704,-73.99212000
-1.30358704,-73.99212000
-1.30102704,-78.46308000
-1.29846704,-73.99212000
-1.29590704,-73.99212000
-1.29334704,-78.46308000
-1.29078704,-73.99212000
-1.28822704,-73.99212000
-1.28566704,-73.99212000
-1.28310704,-78.46308000
-1.28054704,-78.46308000
-1.27798704,-73.99212000
-1.27542704,-78.46308000
-1.27286704,-78.46308000
-1.27030704,-73.99212000
-1.26774704,-73.99212000
-1.26518704,-78.46308000
-1.26262704,-78.46308000
-1.26006704,-78.46308000
-1.25750704,-78.46308000
-1.25494704,-78.46308000
-1.25238704,-78.46308000
-1.24982704,-78.46308000
-1.24726704,-78.46308000
-1.24470704,-73.99212000
-1.24214704,-78.46308000
-1.23958704,-78.46308000
-1.23702704,-78.46308000
-1.23446704,-73.99212000
-1.23190704,-78.46308000
-1.22934704,-78.46308000
-1.22678704,-78.46308000
-1.22422704,-78.46308000
-1.22166704,-78.46308000
-1.21910704,-73.99212000
-1.21654704,-78.46308000
-1.21398704,-78.46308000
-1.21142704,-73.99212000
-1.20886704,-78.46308000
-1.20630704,-73.99212000
-1.20374704,-78.46308000
-1.20118704,-73.99212000
-1.19862704,-73.99212000
-1.19606704,-78.46308000
-1.19350704,-78.46308000
-1.19094704,-73.99212000
-1.18838704,-73.99212000
-1.18582704,-78.46308000
-1.18326704,-73.99212000
-1.18070704,-78.46308000
-1.17814704,-73.99212000
-1.17558704,-78.46308000
-1.17302704,-73.99212000
-1.17046704,-73.99212000
-1.16790704,-78.46308000
-1.16534704,-73.99212000
-1.16278704,-73.99212000
-1.16022704,-73.99212000
-1.15766704,-78.46308000
-1.15510704,-78.46308000
-1.15254704,-73.99212000
-1.14998704,-78.46308000
-1.14742704,-73.99212000
-1.14486704,-78.46308000
-1.14230704,-78.46308000
-1.13974704,-78.46308000
