Time,Invert B
(ms),(mV)

-1.32136198,-73.99212000
-1.31880198,-78.46308000
-1.31624198,-78.46308000
-1.31368198,-78.46308000
-1.31112198,-73.99212000
-1.30856198,-73.99212000
-1.30600198,-73.99212000
-1.30344198,-73.99212000
-1.30088198,-78.46308000
-1.29832198,-73.99212000
-1.29576198,-73.99212000
-1.29320198,-73.99212000
-1.29064198,-73.99212000
-1.28808198,-78.46308000
-1.28552198,-73.99212000
-1.28296198,-73.99212000
-1.28040198,-73.99212000
-1.27784198,-73.99212000
-1.27528198,-73.99212000
-1.27272198,-73.99212000
-1.27016198,-73.99212000
-1.26760198,-73.99212000
-1.26504198,-73.99212000
-1.26248198,-78.46308000
-1.25992198,-73.99212000
-1.25736198,-73.99212000
-1.25480198,-73.99212000
-1.25224198,-73.99212000
-1.24968198,-73.99212000
-1.24712198,-73.99212000
-1.24456198,-78.46308000
-1.24200198,-73.99212000
-1.23944198,-73.99212000
-1.23688198,-73.99212000
-1.23432198,-73.99212000
-1.23176198,-73.99212000
-1.22920198,-73.99212000
-1.22664198,-69.50591000
-1.22408198,-73.99212000
-1.22152198,-73.99212000
-1.21896198,-73.99212000
-1.21640198,-73.99212000
-1.21384198,-73.99212000
-1.21128198,-78.46308000
-1.20872198,-78.46308000
-1.20616198,-73.99212000
-1.20360198,-73.99212000
-1.20104198,-73.99212000
-1.19848198,-73.99212000
-1.19592198,-73.99212000
-1.19336198,-73.99212000
-1.19080198,-73.99212000
-1.18824198,-73.99212000
-1.18568198,-73.99212000
-1.18312198,-73.99212000
-1.18056198,-73.99212000
-1.17800198,-73.99212000
-1.17544198,-78.46308000
-1.17288198,-73.99212000
-1.17032198,-73.99212000
-1.16776198,-73.99212000
-1.16520198,-78.46308000
-1.16264198,-73.99212000
-1.16008198,-73.99212000
-1.15752198,-73.99212000
-1.15496198,-73.99212000
-1.15240198,-73.99212000
-1.14984198,-69.50591000
-1.14728198,-73.99212000
-1.14472198,-73.99212000
-1.14216198,-73.99212000
-1.13960198,-73.99212000
