Time,Invert B
(ms),(mV)

-1.32175395,-73.99212000
-1.31919395,-73.99212000
-1.31663395,-73.99212000
-1.31407395,-69.50591000
-1.31151395,-69.50591000
-1.30895395,-69.50591000
-1.30639395,-73.99212000
-1.30383395,-69.50591000
-1.30127395,-73.99212000
-1.29871395,-69.50591000
-1.29615395,-69.50591000
-1.29359395,-69.50591000
-1.29103395,-73.99212000
-1.28847395,-69.50591000
-1.28591395,-69.50591000
-1.28335395,-69.50591000
-1.28079395,-69.50591000
-1.27823395,-73.99212000
-1.27567395,-69.50591000
-1.27311395,-69.50591000
-1.27055395,-69.50591000
-1.26799395,-69.50591000
-1.26543395,-69.50591000
-1.26287395,-73.99212000
-1.26031395,-73.99212000
-1.25775395,-69.50591000
-1.25519395,-73.99212000
-1.25263395,-73.99212000
-1.25007395,-73.99212000
-1.24751395,-69.50591000
-1.24495395,-69.50591000
-1.24239395,-69.50591000
-1.23983395,-73.99212000
-1.23727395,-69.50591000
-1.23471395,-69.50591000
-1.23215395,-69.50591000
-1.22959395,-69.50591000
-1.22703395,-69.50591000
-1.22447395,-73.99212000
-1.22191395,-69.50591000
-1.21935395,-69.50591000
-1.21679395,-69.50591000
-1.21423395,-69.50591000
-1.21167395,-73.99212000
-1.20911395,-69.50591000
-1.20655395,-69.50591000
-1.20399395,-73.99212000
-1.20143395,-73.99212000
-1.19887395,-73.99212000
-1.19631395,-73.99212000
-1.19375395,-69.50591000
-1.19119395,-73.99212000
-1.18863395,-73.99212000
-1.18607395,-69.50591000
-1.18351395,-69.50591000
-1.18095395,-69.50591000
-1.17839395,-69.50591000
-1.17583395,-69.50591000
-1.17327395,-69.50591000
-1.17071395,-69.50591000
-1.16815395,-69.50591000
-1.16559395,-69.50591000
-1.16303395,-73.99212000
-1.16047395,-73.99212000
-1.15791395,-69.50591000
-1.15535395,-69.50591000
-1.15279395,-69.50591000
-1.15023395,-69.50591000
-1.14767395,-69.50591000
-1.14511395,-69.50591000
-1.14255395,-69.50591000
-1.13999395,-69.50591000
