Time,Invert B
(ms),(mV)

-1.32139504,-73.99212000
-1.31883504,-73.99212000
-1.31627504,-78.46308000
-1.31371504,-78.46308000
-1.31115504,-73.99212000
-1.30859504,-78.46308000
-1.30603504,-78.46308000
-1.30347504,-78.46308000
-1.30091504,-73.99212000
-1.29835504,-78.46308000
-1.29579504,-78.46308000
-1.29323504,-78.46308000
-1.29067504,-73.99212000
-1.28811504,-78.46308000
-1.28555504,-78.46308000
-1.28299504,-78.46308000
-1.28043504,-78.46308000
-1.27787504,-78.46308000
-1.27531504,-78.46308000
-1.27275504,-73.99212000
-1.27019504,-78.46308000
-1.26763504,-78.46308000
-1.26507504,-78.46308000
-1.26251504,-73.99212000
-1.25995504,-73.99212000
-1.25739504,-78.46308000
-1.25483504,-78.46308000
-1.25227504,-78.46308000
-1.24971504,-73.99212000
-1.24715504,-78.46308000
-1.24459504,-73.99212000
-1.24203504,-78.46308000
-1.23947504,-78.46308000
-1.23691504,-73.99212000
-1.23435504,-78.46308000
-1.23179504,-78.46308000
-1.22923504,-73.99212000
-1.22667504,-78.46308000
-1.22411504,-78.46308000
-1.22155504,-78.46308000
-1.21899504,-73.99212000
-1.21643504,-78.46308000
-1.21387504,-78.46308000
-1.21131504,-73.99212000
-1.20875504,-73.99212000
-1.20619504,-73.99212000
-1.20363504,-73.99212000
-1.20107504,-73.99212000
-1.19851504,-73.99212000
-1.19595504,-78.46308000
-1.19339504,-78.46308000
-1.19083505,-73.99212000
-1.18827505,-78.46308000
-1.18571505,-73.99212000
-1.18315505,-73.99212000
-1.18059505,-73.99212000
-1.17803505,-73.99212000
-1.17547505,-73.99212000
-1.17291505,-78.46308000
-1.17035505,-73.99212000
-1.16779505,-73.99212000
-1.16523505,-73.99212000
-1.16267505,-73.99212000
-1.16011505,-78.46308000
-1.15755505,-73.99212000
-1.15499505,-73.99212000
-1.15243505,-78.46308000
-1.14987505,-73.99212000
-1.14731505,-73.99212000
-1.14475505,-73.99212000
-1.14219505,-73.99212000
-1.13963505,-78.46308000
