Time,Invert B
(ms),(mV)

-1.32213405,-73.99212000
-1.31957405,-73.99212000
-1.31701405,-78.46308000
-1.31445405,-73.99212000
-1.31189405,-73.99212000
-1.30933405,-73.99212000
-1.30677405,-78.46308000
-1.30421405,-73.99212000
-1.30165405,-73.99212000
-1.29909405,-73.99212000
-1.29653405,-73.99212000
-1.29397405,-73.99212000
-1.29141405,-73.99212000
-1.28885405,-78.46308000
-1.28629405,-73.99212000
-1.28373405,-73.99212000
-1.28117405,-78.46308000
-1.27861405,-73.99212000
-1.27605405,-73.99212000
-1.27349405,-73.99212000
-1.27093405,-73.99212000
-1.26837405,-78.46308000
-1.26581405,-73.99212000
-1.26325405,-73.99212000
-1.26069405,-78.46308000
-1.25813405,-73.99212000
-1.25557405,-78.46308000
-1.25301405,-73.99212000
-1.25045405,-73.99212000
-1.24789405,-78.46308000
-1.24533405,-78.46308000
-1.24277405,-78.46308000
-1.24021405,-73.99212000
-1.23765405,-78.46308000
-1.23509405,-73.99212000
-1.23253405,-73.99212000
-1.22997405,-73.99212000
-1.22741405,-78.46308000
-1.22485405,-73.99212000
-1.22229405,-73.99212000
-1.21973405,-78.46308000
-1.21717405,-73.99212000
-1.21461405,-78.46308000
-1.21205405,-78.46308000
-1.20949405,-78.46308000
-1.20693405,-73.99212000
-1.20437405,-73.99212000
-1.20181405,-73.99212000
-1.19925405,-73.99212000
-1.19669405,-78.46308000
-1.19413405,-73.99212000
-1.19157405,-73.99212000
-1.18901405,-73.99212000
-1.18645405,-78.46308000
-1.18389405,-78.46308000
-1.18133405,-73.99212000
-1.17877405,-73.99212000
-1.17621405,-73.99212000
-1.17365405,-73.99212000
-1.17109405,-73.99212000
-1.16853405,-73.99212000
-1.16597405,-73.99212000
-1.16341405,-78.46308000
-1.16085405,-73.99212000
-1.15829405,-73.99212000
-1.15573405,-78.46308000
-1.15317405,-73.99212000
-1.15061405,-73.99212000
-1.14805405,-73.99212000
-1.14549405,-73.99212000
-1.14293405,-73.99212000
-1.14037405,-73.99212000
