Time,Invert B
(ms),(mV)

-1.32205698,-78.46308000
-1.31949698,-78.46308000
-1.31693698,-73.99212000
-1.31437698,-73.99212000
-1.31181698,-78.46308000
-1.30925698,-73.99212000
-1.30669698,-78.46308000
-1.30413698,-73.99212000
-1.30157698,-73.99212000
-1.29901698,-78.46308000
-1.29645698,-73.99212000
-1.29389698,-73.99212000
-1.29133698,-73.99212000
-1.28877698,-73.99212000
-1.28621698,-78.46308000
-1.28365698,-73.99212000
-1.28109698,-73.99212000
-1.27853698,-78.46308000
-1.27597698,-73.99212000
-1.27341698,-78.46308000
-1.27085698,-73.99212000
-1.26829698,-73.99212000
-1.26573698,-73.99212000
-1.26317698,-73.99212000
-1.26061698,-73.99212000
-1.25805698,-73.99212000
-1.25549698,-73.99212000
-1.25293698,-73.99212000
-1.25037698,-73.99212000
-1.24781698,-73.99212000
-1.24525698,-73.99212000
-1.24269698,-73.99212000
-1.24013698,-73.99212000
-1.23757698,-78.46308000
-1.23501698,-73.99212000
-1.23245698,-73.99212000
-1.22989698,-73.99212000
-1.22733698,-73.99212000
-1.22477698,-73.99212000
-1.22221698,-73.99212000
-1.21965698,-73.99212000
-1.21709698,-73.99212000
-1.21453698,-73.99212000
-1.21197698,-73.99212000
-1.20941698,-73.99212000
-1.20685698,-73.99212000
-1.20429698,-78.46308000
-1.20173698,-73.99212000
-1.19917698,-73.99212000
-1.19661698,-69.50591000
-1.19405698,-73.99212000
-1.19149698,-73.99212000
-1.18893698,-73.99212000
-1.18637698,-73.99212000
-1.18381698,-73.99212000
-1.18125698,-73.99212000
-1.17869698,-73.99212000
-1.17613698,-73.99212000
-1.17357698,-73.99212000
-1.17101698,-73.99212000
-1.16845698,-73.99212000
-1.16589698,-73.99212000
-1.16333698,-78.46308000
-1.16077698,-73.99212000
-1.15821698,-73.99212000
-1.15565698,-73.99212000
-1.15309698,-73.99212000
-1.15053698,-73.99212000
-1.14797698,-73.99212000
-1.14541698,-73.99212000
-1.14285698,-73.99212000
-1.14029698,-73.99212000
